Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp,Marker,Label
96321,2.18,3.18,8.69,0.73,0.08,0,32.26,DATA,0
96447,2.14,4.2,8.28,0.67,0.1,-0.01,32.24,DATA,0
96566,2.26,4.81,7.81,0.57,0.14,-0.06,32.27,DATA,0
96691,2.01,5.29,7.65,0.54,0.15,-0.04,32.26,DATA,0
96814,1.85,5.92,7.4,0.59,0.15,0.01,32.26,DATA,0
96937,1.93,6.49,6.84,0.67,0.08,0.02,32.25,DATA,0
97064,1.93,7.19,5.77,0.71,0.07,0.02,32.25,DATA,0
97183,1.87,7.68,4.84,0.46,0.02,-0.02,32.26,DATA,0
97307,1.85,8,4.54,0.25,0.06,0,32.23,DATA,0
97429,1.9,8.2,4.33,-0.01,-0.01,-0.01,32.25,DATA,0
97553,1.71,8.1,4.71,-0.15,0.02,-0.03,32.26,DATA,0
97676,1.79,8.16,4.83,-0.24,0.04,-0.02,32.25,DATA,0
97800,1.47,7.74,5.3,-0.33,0.04,-0.01,32.26,DATA,0
97924,1.63,7.65,5.15,-0.51,-0.02,0.02,32.24,DATA,0
98049,1.59,6.92,6.22,-0.52,0.02,0.01,32.24,DATA,0
98174,1.69,6.48,6.63,-0.6,0.07,-0.03,32.25,DATA,0
98298,1.64,6.05,7.12,-0.71,0.08,-0.03,32.28,DATA,0
103421,1.02,1.15,9.45,-0.07,0.03,-0.03,32.28,DATA,0
103511,1.11,1.08,9.49,-0.07,0.01,-0.01,32.29,DATA,0
103630,1.07,1.05,9.77,-0.06,0,-0.01,32.29,DATA,0
103755,1.06,1.06,9.44,-0.02,-0.01,-0.02,32.29,DATA,0
103878,1.04,1.09,9.42,-0.04,-0.01,-0.02,32.29,DATA,0
104002,1.01,1.13,9.63,-0.03,0.02,0.01,32.29,DATA,0
104123,0,0,0,0,0,0,0,END,0
165199,0,0,0,0,0,0,0,START,0
165339,2.54,0.18,10.59,-0.19,0.09,-0.03,32.37,DATA,0
165429,1.56,0.43,10.13,0,-0.51,0.06,32.37,DATA,0
165585,1.76,0.1,9.68,0.08,-0.2,0.03,32.37,DATA,0
165708,1.71,0.38,9.15,0.06,-0.02,0,32.37,DATA,0
165833,2.43,0.63,9.52,0.03,0.18,-0.04,32.37,DATA,0
165954,2.22,0.33,9.64,0.11,-0.06,-0.06,32.37,DATA,0
166076,2.02,0.58,9.29,0.09,-0.17,-0.17,32.35,DATA,0
166200,2.11,0.84,9.49,0.18,-0.06,-0.15,32.37,DATA,0
166324,2.08,1.11,9.42,0.2,-0.14,0.01,32.35,DATA,0
166450,2.23,1.36,9.52,0.17,-0.03,-0.07,32.37,DATA,0
166573,2.56,1.62,9.25,0.32,-0.08,-0.08,32.35,DATA,0
166698,2.12,2.39,8.64,0.31,-0.12,-0.08,32.38,DATA,0
166821,2.61,2.65,8.83,0.14,-0.26,-0.06,32.36,DATA,0
166946,2.46,2.52,8.11,0.04,0.03,-0.09,32.37,DATA,0
167069,2.51,2.93,8.23,-0.08,-0.08,0.01,32.36,DATA,0
167192,2.75,2.85,8.5,-0.15,0.09,0.03,32.37,DATA,0
167318,2.53,2.55,8.65,-0.21,0.17,0.04,32.36,DATA,0
167441,2.54,2.18,8.74,-0.26,0.24,0.05,32.37,DATA,0
167565,2.51,1.8,9.33,-0.24,0.21,0.02,32.37,DATA,0
167685,1.91,1.88,9,-0.25,0.24,-0.04,32.37,DATA,0
167808,2.1,1.35,9.36,-0.28,0.22,-0.01,32.36,DATA,0
167931,1.82,1.25,9.25,-0.29,0.12,0.01,32.39,DATA,0
168058,1.5,0.68,9.26,-0.3,0.06,0.02,32.37,DATA,0
168180,2.13,0.74,9.78,-0.3,-0.39,0.07,32.38,DATA,0
168305,1.64,0.01,9.95,-0.2,0.22,-0.01,32.38,DATA,0
168433,1.54,0.03,9.6,-0.23,0.01,0,32.37,DATA,0
168552,1.68,-0.28,9.87,-0.16,-0.11,-0.03,32.38,DATA,0
168699,1.45,-0.21,9.17,-0.07,-0.19,-0.05,32.38,DATA,0
168795,0,0,0,0,0,0,0,END,0
169855,0,0,0,0,0,0,0,START,0
169987,2.48,-0.21,10.27,-0.08,0.06,-0.09,32.38,DATA,0
170073,1.95,-0.2,9.66,-0.09,-0.02,-0.06,32.39,DATA,0
170196,2.4,-0.23,13.12,0.22,-0.02,0.14,32.38,DATA,0
170318,0.8,-0.81,10.93,1.93,0.17,-0.21,32.38,DATA,0
170446,1.55,2.59,6.15,2.6,0.07,-0.2,32.39,DATA,0
170707,2.9,6.48,5.44,1.2,0.16,-0.43,32.4,DATA,0
170817,1.33,9.11,2.81,0.89,0.45,-0.25,32.37,DATA,0
170940,1.52,9.54,1.22,-0.68,0.2,0.13,32.37,DATA,0
171066,1.58,6.84,4.43,-1.68,-0.03,0.38,32.37,DATA,0
171202,1.99,4.58,7.41,-2.02,0.03,0.33,32.38,DATA,0
171311,2.89,2.74,8.42,-2.26,1.42,0.4,32.36,DATA,0
171433,0.65,0.9,11.03,-1.27,-0.75,0.05,32.38,DATA,0
171557,1.51,-0.18,10.93,-0.55,-0.28,-0.12,32.4,DATA,0
171675,0,0,0,0,0,0,0,END,0
172275,0,0,0,0,0,0,0,START,0
172412,3.07,-0.2,12.56,0.35,0.31,-0.1,32.36,DATA,0
172667,3.69,3.05,7.65,2.19,-0.78,-0.38,32.35,DATA,0
172804,3.09,6.46,4.73,1.72,0.12,-0.32,32.35,DATA,0
172934,2.22,7.31,4.24,1.03,0.44,-0.33,32.36,DATA,0
173399,1.34,10.32,1.74,-0.21,0,-0.15,32.37,DATA,0
173487,0.73,9.93,2.46,-0.62,-0.06,0.09,32.36,DATA,0
176204,2.4,5.16,5.88,-1.9,0.23,0.13,32.33,DATA,0
176328,1.69,2.42,8.41,-1.76,0.37,-0.2,32.36,DATA,0
176452,1.84,1.2,9.9,-1.17,0.03,-0.18,32.34,DATA,0
176573,2.07,0.85,10.1,-0.7,-0.58,-0.03,32.37,DATA,0
176697,0.73,0.57,10.63,-0.41,-0.02,-0.05,32.36,DATA,0
176821,0.78,0.44,9.74,-0.14,0.02,-0.06,32.34,DATA,0
176941,0,0,0,0,0,0,0,END,0
105240,0,0,0,0,0,0,0,START,0
105360,1.1,0.67,11.47,0.25,-0.24,-0.01,32.3,DATA,0
105486,1.88,1.51,10.36,1.07,-0.19,-0.05,32.32,DATA,0
105611,1.41,3.09,8.63,1.34,-0.18,0.01,32.32,DATA,0
105733,1.34,4.75,7.27,1.09,-0.09,-0.07,32.3,DATA,0
105856,1.51,5.49,7.04,0.83,0.16,-0.01,32.28,DATA,0
105981,1.48,6.51,6.4,0.68,0.07,-0.03,32.3,DATA,0
